score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Егор,5060499111
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
1,Lokusok,670224174
score,first_name,chat_id
1,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
6,Lokusok,670224174
score,first_name,chat_id
6,Lokusok,670224174
score,first_name,chat_id
0,Егор,5060499111
score,first_name,chat_id
6,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,kirito,1657155415
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
score,first_name,chat_id
0,Lokusok,670224174
